id,role,industry,experience_level,years_experience,education_level,resume_text,technical_skills,project_count,certification_count,github_projects,salary_expectation,location,selected,interview_score,ats_score,culture_fit_score
339,Backend Developer,Technology,Entry,8,High School,"Experienced Backend Developer with 1 years in software development. Proficient in SQL, Java, Django, Spring. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Django', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend', 'Java']",3,0,7,121442,On-site,False,0.5890003943240196,90,0.924117354134094
340,Security Engineer,Technology,Junior,14,PhD,"Experienced Security Engineer with 2 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",3,3,4,55351,On-site,True,0.5928410212288777,89,0.411638605351103
341,Frontend Developer,Technology,Principal,10,Bachelor,"Experienced Frontend Developer with 6 years in software development. Proficient in JavaScript, HTML, Vue.js, Angular. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",5,2,18,44466,Remote,False,0.642760647976933,81,0.4888068914515594
342,Android Developer,Finance,Mid,6,Master,"Experienced Android Developer with 3 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",2,4,10,76459,Hybrid,False,0.45573604423206415,83,0.7220830557688829
343,Full Stack Developer,Education,Entry,10,Bachelor,"Experienced Full Stack Developer with 1 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",9,2,5,106655,Hybrid,False,0.5553992956366962,85,0.9160399553846307
344,QA Tester,Technology,Senior,12,Master,"Experienced QA Tester with 4 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",8,2,1,90476,Hybrid,False,0.48622508281826254,49,0.8643774793826581
345,UI/UX Designer,Manufacturing,Senior,10,High School,"Experienced UI/UX Designer with 4 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",9,4,13,79774,Remote,False,0.4892261380618952,72,0.42234241111883597
346,Data Engineer,Manufacturing,Principal,5,Master,"Experienced Data Engineer with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",6,0,4,128088,Remote,False,0.6136618570180701,57,0.9931943888760459
347,UI/UX Designer,Healthcare,Senior,3,PhD,"Experienced UI/UX Designer with 4 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",2,2,2,131019,Remote,True,0.539862101093015,68,0.4894157681024863
348,DevOps Engineer,E-commerce,Junior,6,Bachelor,"Experienced DevOps Engineer with 2 years in software development. Proficient in Docker, Kubernetes, Terraform, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Terraform', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Kubernetes']",6,2,18,94601,On-site,False,0.8619651180566417,81,0.9513437468494602
349,Product Manager,Finance,Entry,9,Master,"Experienced Product Manager with 1 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",5,1,12,80045,On-site,False,0.8661227199199981,46,0.8429228258052854
350,Backend Developer,E-commerce,Mid,4,Master,"Experienced Backend Developer with 3 years in software development. Proficient in SQL, PostgreSQL, Python, Node.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Backend', 'Experienced']",3,0,4,82979,Remote,True,0.4395925305383287,65,0.8839114947503419
351,Cloud Architect,E-commerce,Mid,12,Bachelor,"Experienced Cloud Architect with 3 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",3,3,11,73521,Remote,False,0.6430461180888214,65,0.7654531611833056
352,Product Manager,Education,Entry,11,High School,"Experienced Product Manager with 1 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",5,3,9,147166,On-site,False,0.37016819102789555,86,0.7102560610869169
353,Android Developer,Healthcare,Mid,11,Master,"Experienced Android Developer with 3 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",5,2,2,107635,On-site,False,0.51327968959324,64,0.8220881282905701
354,Cloud Architect,Healthcare,Entry,13,Bachelor,"Experienced Cloud Architect with 1 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",2,4,0,85570,On-site,False,0.41007241168127384,90,0.7995183267575063
355,Project Manager,Healthcare,Junior,4,High School,"Experienced Project Manager with 2 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",5,3,3,33152,Remote,False,0.9777835416305543,82,0.5855746448218742
356,Security Engineer,Education,Entry,10,High School,"Experienced Security Engineer with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",9,0,8,148016,Remote,False,0.8418514140022819,69,0.6576459067201902
357,Security Engineer,E-commerce,Principal,2,Master,"Experienced Security Engineer with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",8,1,10,81911,On-site,False,0.6357501619136524,57,0.4408569210410084
358,Data Engineer,Finance,Mid,10,Master,"Experienced Data Engineer with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",2,2,1,46521,Hybrid,False,0.8757744950267978,72,0.5578989990592269
359,UI/UX Designer,Finance,Mid,4,PhD,"Experienced UI/UX Designer with 3 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",9,2,1,105601,On-site,True,0.4446040610049625,60,0.8610806146445465
360,QA Tester,Manufacturing,Entry,7,Master,"Experienced QA Tester with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",6,3,2,68055,Remote,True,0.6668189336125276,57,0.9472678308767888
361,ML Engineer,Finance,Lead,13,Master,"Experienced ML Engineer with 5 years in software development. Proficient in TensorFlow, MLOps, PyTorch, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",2,0,19,61553,On-site,False,0.47406956623078134,64,0.9181970661112493
362,Data Engineer,Finance,Entry,1,Master,"Experienced Data Engineer with 1 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",5,2,19,99788,On-site,False,0.7031298607481025,65,0.960828853638417
363,Data Scientist,Education,Lead,12,Bachelor,"Experienced Data Scientist with 5 years in software development. Proficient in SQL, Pandas, TensorFlow, Tableau. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Tableau', 'Experienced']",9,2,8,136750,On-site,False,0.4266933634029142,72,0.6975132400129996
364,Android Developer,Education,Entry,13,PhD,"Experienced Android Developer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",8,4,1,87352,Hybrid,False,0.8954597594986902,54,0.7723172748659382
365,Full Stack Developer,Finance,Principal,6,Master,"Experienced Full Stack Developer with 6 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",2,2,8,32063,On-site,False,0.4306929139225202,78,0.5091095346541048
